Ferak orthoferavirus;Orthoferavirus;Unassigned;Feraviridae;Bunyavirales;ssRNA(-)
Ateline alphaherpesvirus 1;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bovine alphaherpesvirus 2;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cercopithecine alphaherpesvirus 2;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human alphaherpesvirus 1;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human alphaherpesvirus 2;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Leporid alphaherpesvirus 4;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macacine alphaherpesvirus 1;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macropodid alphaherpesvirus 1;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macropodid alphaherpesvirus 2;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Panine alphaherpesvirus 3;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Papiine alphaherpesvirus 2;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Saimiriine alphaherpesvirus 1;Simplexvirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Chelonid alphaherpesvirus 6;Unassigned;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bovine alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bovine alphaherpesvirus 5;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Bubaline alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Canid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Caprine alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cercopithecine alphaherpesvirus 9;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cervid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cervid alphaherpesvirus 2;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid alphaherpesvirus 3;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid alphaherpesvirus 4;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid alphaherpesvirus 8;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Equid alphaherpesvirus 9;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Felid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human alphaherpesvirus 3;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Phocid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Suid alphaherpesvirus 1;Varicellovirus;Alphaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Aotine betaherpesvirus 1;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cebine betaherpesvirus 1;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Cercopithecine betaherpesvirus 5;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Human betaherpesvirus 5;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Macacine betaherpesvirus 3;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Panine betaherpesvirus 2;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Papiine betaherpesvirus 3;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Saimiriine betaherpesvirus 4;Cytomegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
Murid betaherpesvirus 1;Muromegalovirus;Betaherpesvirinae;Herpesviridae;Herpesvirales;dsDNA
